popularity,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence,year,duration_min
52,0.0134,0.426,0.578,0.072,-11.514,0.0379,71.706,0.45,1986,3.609333333
50,0.0532,0.324,0.358,0.106,-14.19,0.0367,134.363,0.107,1986,5.05555
52,0.0505,0.559,0.717,0.286,-14.802,0.0626,115.451,0.603,1986,4.813766667
54,0.149,0.646,0.807,0.0639,-5.87,0.132,125.516,0.786,1986,4.123333333
54,4.09E-05,0.401,0.675,0.0763,-7.961,0.0425,120.011,0.27,1986,3.636666667
62,0.297,0.756,0.837,0.0567,-6.943,0.051,132.146,0.588,1986,4.05155
53,0.0576,0.643,0.712,0.287,-6.385,0.0266,103.07,0.636,1986,4.1671
60,0.307,0.738,0.528,0.0733,-9.746,0.0281,97.39,0.415,1986,6.086
50,0.542,0.701,0.119,0.0721,-19.145,0.0398,77.195,0.236,1986,4.474433333
59,0.155,0.602,0.48,0.0722,-10.46,0.22,173.846,0.81,1986,3.202883333
50,0.38,0.662,0.466,0.0838,-14.705,0.0365,140.137,0.831,1986,3.117766667
51,0.449,0.644,0.304,0.715,-15.664,0.0363,79.099,0.68,1986,3.4311
64,0.521,0.488,0.332,0.104,-13.024,0.0282,131.047,0.28,1986,3.748433333
50,0.222,0.771,0.318,0.103,-13.922,0.0365,111.507,0.789,1986,4.543333333
55,0.817,0.32,0.221,0.0977,-16.302,0.0328,80.04,0.116,1986,3.96955
58,0.106,0.778,0.625,0.0678,-12.031,0.0402,114.863,0.962,1986,7.6651
58,0.0233,0.482,0.601,0.0517,-6.808,0.0278,77.101,0.348,1986,4.221333333
57,0.0551,0.287,0.84,0.21,-3.947,0.0404,202.903,0.648,1986,3.572883333
57,0.418,0.875,0.512,0.0458,-12.891,0.0412,125.536,0.966,1986,2.4251
55,0.655,0.625,0.312,0.287,-14.797,0.0334,128.575,0.319,1986,3.7091
52,0.43,0.689,0.423,0.213,-12.85,0.0376,89.746,0.715,1986,4.621766667
52,0.608,0.468,0.846,0.214,-11.889,0.0484,110.761,0.476,1986,2.188883333
51,0.428,0.661,0.711,0.132,-11.037,0.0514,116.836,0.889,1986,4.966216667
64,0.25,0.663,0.551,0.111,-9.923,0.0341,117.39,0.638,1986,3.8278
53,0.0053,0.512,0.96,0.0755,-3.144,0.0723,147.84,0.604,1986,3.182216667
59,0.984,0.363,0.115,0.135,-20.386,0.0352,122.598,0.188,1986,2.72
56,0.808,0.585,0.0552,0.204,-27.086,0.0474,67.447,0.253,1986,1.026216667
51,0.0123,0.791,0.738,0.351,-8.768,0.355,95.3,0.891,1986,3.436883333
53,0.0247,0.35,0.986,0.315,-2.682,0.067,148.937,0.357,1986,3.861333333
61,0.231,0.798,0.909,0.0502,-4.258,0.045,117.947,0.866,1986,4.2911
55,0.0711,0.432,0.852,0.155,-4.865,0.0473,118.256,0.596,1986,2.832
51,5.19E-05,0.38,0.8,0.321,-8.617,0.0695,138.714,0.574,1986,5.664666667
57,0.589,0.736,0.424,0.0843,-8.579,0.0437,96.561,0.97,1986,3.0478
52,0.00965,0.254,0.72,0.0573,-13.81,0.0471,157.652,0.679,1986,5.7111
52,0.0556,0.517,0.922,0.358,-2.341,0.078,126.028,0.448,1986,3.844
54,0.0979,0.577,0.464,0.154,-7.943,0.024,90.557,0.346,1986,3.658433333
50,0.000211,0.48,0.923,0.106,-8.793,0.0682,96.535,0.44,1986,5.206
50,0.0433,0.434,0.658,0.0992,-14.211,0.0428,111.641,0.571,1986,4.39
55,0.812,0.681,0.715,0.0777,-10.609,0.0912,152.132,0.957,1986,2.762216667
69,0.695,0.45,0.527,0.0685,-7.212,0.0341,179.474,0.569,1986,4.3191
50,0.0315,0.55,0.719,0.115,-9.809,0.0387,89.975,0.358,1986,4.95
68,0.135,0.64,0.926,0.134,-5.597,0.0322,131.997,0.901,1986,4.517766667
56,2.67E-05,0.279,0.912,0.0672,-4.608,0.126,164.185,0.479,1986,3.622216667
49,0.000305,0.309,0.767,0.0967,-9.676,0.033,97.944,0.413,1986,6.452433333
61,0.263,0.652,0.521,0.107,-6.752,0.0256,109.943,0.235,1986,5.865333333
58,0.174,0.551,0.876,0.397,-7.02,0.037,151.575,0.746,1986,5.56665
53,0.653,0.339,0.379,0.219,-15.08,0.0528,74.142,0.429,1986,5.5111
62,0.232,0.583,0.545,0.133,-11.698,0.0351,153.249,0.801,1986,5.043333333
52,0.254,0.795,0.741,0.189,-6.78,0.0534,117.906,0.961,1986,3.222883333
53,0.04,0.554,0.968,0.871,-4.248,0.038,100.772,0.562,1986,3.568216667
47,0.000108,0.679,0.716,0.126,-10.14,0.0313,111.827,0.485,1986,6.601766667
62,0.492,0.607,0.414,0.103,-9.436,0.0546,157.467,0.962,1986,5.012666667
54,0.161,0.64,0.828,0.0347,-7.941,0.0296,135.975,0.938,1986,4.424433333
55,0.0474,0.399,0.904,0.532,-4.607,0.041,134.892,0.879,1986,3.198666667
49,0.00754,0.714,0.601,0.0915,-9.459,0.302,193.527,0.415,1986,2.946
53,0.429,0.533,0.785,0.0882,-5.886,0.116,111.43,0.69,1986,7.114
49,0.0271,0.666,0.912,0.24,-8.489,0.445,171.732,0.818,1986,2.440216667
56,0.00106,0.513,0.898,0.791,-6.242,0.0524,140.452,0.61,1986,6.452433333
48,0.0406,0.665,0.615,0.92,-9.245,0.395,168.76,0.692,1986,3.634433333
46,0.204,0.718,0.877,0.0546,-6.583,0.0497,116.083,0.962,1986,4.484666667
60,0.117,0.493,0.665,0.159,-13.817,0.0424,152.644,0.877,1986,4.513333333
49,0.213,0.735,0.582,0.0541,-11.2,0.0628,102.896,0.674,1986,5.054666667
50,0.357,0.655,0.449,0.492,-11.468,0.0277,97.982,0.488,1986,2.521766667
51,0.000867,0.83,0.907,0.358,-8.508,0.2,95.263,0.757,1986,2.798
47,4.75E-05,0.264,0.931,0.0897,-7.615,0.0928,90.246,0.414,1986,8.2771
